Entity,Code,Date,Total confirmed deaths due to COVID-19 (deaths)
Afghanistan,AFG,"Mar 24, 2020",1
Afghanistan,AFG,"Mar 25, 2020",1
Afghanistan,AFG,"Mar 26, 2020",1
Afghanistan,AFG,"Mar 27, 2020",1
Afghanistan,AFG,"Mar 28, 2020",2
Afghanistan,AFG,"Mar 29, 2020",3
Afghanistan,AFG,"Mar 30, 2020",4
Afghanistan,AFG,"Mar 31, 2020",4
Afghanistan,AFG,"Apr 1, 2020",4
Afghanistan,AFG,"Apr 2, 2020",4
Afghanistan,AFG,"Apr 3, 2020",4
Afghanistan,AFG,"Apr 4, 2020",4
Afghanistan,AFG,"Apr 5, 2020",5
Afghanistan,AFG,"Apr 6, 2020",7
Afghanistan,AFG,"Apr 7, 2020",7
Afghanistan,AFG,"Apr 8, 2020",11
Afghanistan,AFG,"Apr 9, 2020",14
Afghanistan,AFG,"Apr 10, 2020",15
Afghanistan,AFG,"Apr 11, 2020",15
Afghanistan,AFG,"Apr 12, 2020",18
Afghanistan,AFG,"Apr 13, 2020",18
Afghanistan,AFG,"Apr 14, 2020",21
Afghanistan,AFG,"Apr 15, 2020",23
Afghanistan,AFG,"Apr 16, 2020",25
Afghanistan,AFG,"Apr 17, 2020",29
Afghanistan,AFG,"Apr 18, 2020",30
Afghanistan,AFG,"Apr 19, 2020",30
Afghanistan,AFG,"Apr 20, 2020",33
Afghanistan,AFG,"Apr 21, 2020",35
Afghanistan,AFG,"Apr 22, 2020",36
Afghanistan,AFG,"Apr 23, 2020",40
Afghanistan,AFG,"Apr 24, 2020",42
Afghanistan,AFG,"Apr 25, 2020",43
Afghanistan,AFG,"Apr 26, 2020",47
Afghanistan,AFG,"Apr 27, 2020",57
Afghanistan,AFG,"Apr 28, 2020",57
Afghanistan,AFG,"Apr 29, 2020",60
Afghanistan,AFG,"Apr 30, 2020",60
Afghanistan,AFG,"May 1, 2020",64
Afghanistan,AFG,"May 2, 2020",68
Afghanistan,AFG,"May 3, 2020",72
Afghanistan,AFG,"May 4, 2020",85
Afghanistan,AFG,"May 5, 2020",90
Afghanistan,AFG,"May 6, 2020",95
Africa,,"Mar 9, 2020",1
Africa,,"Mar 10, 2020",1
Africa,,"Mar 11, 2020",1
Africa,,"Mar 12, 2020",2
Africa,,"Mar 13, 2020",4
Africa,,"Mar 14, 2020",5
Africa,,"Mar 15, 2020",6
Africa,,"Mar 16, 2020",8
Africa,,"Mar 17, 2020",8
Africa,,"Mar 18, 2020",12
Africa,,"Mar 19, 2020",16
Africa,,"Mar 20, 2020",17
Africa,,"Mar 21, 2020",24
Africa,,"Mar 22, 2020",35
Africa,,"Mar 23, 2020",44
Africa,,"Mar 24, 2020",52
Africa,,"Mar 25, 2020",64
Africa,,"Mar 26, 2020",72
Africa,,"Mar 27, 2020",84
Africa,,"Mar 28, 2020",103
Africa,,"Mar 29, 2020",124
Africa,,"Mar 30, 2020",143
Africa,,"Mar 31, 2020",166
Africa,,"Apr 1, 2020",189
Africa,,"Apr 2, 2020",224
Africa,,"Apr 3, 2020",256
Africa,,"Apr 4, 2020",305
Africa,,"Apr 5, 2020",379
Africa,,"Apr 6, 2020",434
Africa,,"Apr 7, 2020",477
Africa,,"Apr 8, 2020",522
Africa,,"Apr 9, 2020",573
Africa,,"Apr 10, 2020",630
Africa,,"Apr 11, 2020",691
Africa,,"Apr 12, 2020",743
Africa,,"Apr 13, 2020",789
Africa,,"Apr 14, 2020",835
Africa,,"Apr 15, 2020",876
Africa,,"Apr 16, 2020",911
Africa,,"Apr 17, 2020",965
Africa,,"Apr 18, 2020",1016
Africa,,"Apr 19, 2020",1057
Africa,,"Apr 20, 2020",1120
Africa,,"Apr 21, 2020",1155
Africa,,"Apr 22, 2020",1189
Africa,,"Apr 23, 2020",1232
Africa,,"Apr 24, 2020",1286
Africa,,"Apr 25, 2020",1334
Africa,,"Apr 26, 2020",1378
Africa,,"Apr 27, 2020",1415
Africa,,"Apr 28, 2020",1470
Africa,,"Apr 29, 2020",1524
Africa,,"Apr 30, 2020",1591
Africa,,"May 1, 2020",1635
Africa,,"May 2, 2020",1690
Africa,,"May 3, 2020",1760
Africa,,"May 4, 2020",1799
Africa,,"May 5, 2020",1845
Africa,,"May 6, 2020",1924
Albania,ALB,"Mar 12, 2020",1
Albania,ALB,"Mar 13, 2020",1
Albania,ALB,"Mar 14, 2020",1
Albania,ALB,"Mar 15, 2020",1
Albania,ALB,"Mar 16, 2020",1
Albania,ALB,"Mar 17, 2020",1
Albania,ALB,"Mar 18, 2020",1
Albania,ALB,"Mar 19, 2020",2
Albania,ALB,"Mar 20, 2020",2
Albania,ALB,"Mar 21, 2020",2
Albania,ALB,"Mar 22, 2020",2
Albania,ALB,"Mar 23, 2020",2
Albania,ALB,"Mar 24, 2020",4
Albania,ALB,"Mar 25, 2020",5
Albania,ALB,"Mar 26, 2020",5
Albania,ALB,"Mar 27, 2020",6
Albania,ALB,"Mar 28, 2020",9
Albania,ALB,"Mar 29, 2020",10
Albania,ALB,"Mar 30, 2020",10
Albania,ALB,"Mar 31, 2020",12
Albania,ALB,"Apr 1, 2020",15
Albania,ALB,"Apr 2, 2020",15
Albania,ALB,"Apr 3, 2020",16
Albania,ALB,"Apr 4, 2020",17
Albania,ALB,"Apr 5, 2020",19
Albania,ALB,"Apr 6, 2020",21
Albania,ALB,"Apr 7, 2020",22
Albania,ALB,"Apr 8, 2020",22
Albania,ALB,"Apr 9, 2020",22
Albania,ALB,"Apr 10, 2020",23
Albania,ALB,"Apr 11, 2020",23
Albania,ALB,"Apr 12, 2020",23
Albania,ALB,"Apr 13, 2020",23
Albania,ALB,"Apr 14, 2020",23
Albania,ALB,"Apr 15, 2020",24
Albania,ALB,"Apr 16, 2020",25
Albania,ALB,"Apr 17, 2020",26
Albania,ALB,"Apr 18, 2020",26
Albania,ALB,"Apr 19, 2020",26
Albania,ALB,"Apr 20, 2020",26
Albania,ALB,"Apr 21, 2020",26
Albania,ALB,"Apr 22, 2020",26
Albania,ALB,"Apr 23, 2020",27
Albania,ALB,"Apr 24, 2020",27
Albania,ALB,"Apr 25, 2020",27
Albania,ALB,"Apr 26, 2020",27
Albania,ALB,"Apr 27, 2020",28
Albania,ALB,"Apr 28, 2020",28
Albania,ALB,"Apr 29, 2020",30
Albania,ALB,"Apr 30, 2020",31
Albania,ALB,"May 1, 2020",31
Albania,ALB,"May 2, 2020",31
Albania,ALB,"May 3, 2020",31
Albania,ALB,"May 4, 2020",31
Albania,ALB,"May 5, 2020",31
